Component,Package,Value,Manuf,Manuf Part No,Distrib,Distrib Part No,Ref Name,Qty,Estimated Current,Price
0.25Wresistor,DIP,,,,,,R13 R14 R15 R16 R17,5,,0.325
0.125Wresistor,DIL,,,,,,R2 R3,2,,0.13
B3F-1050,DIP,,,,,,SW1,1,,0.035
Capacitor,C,0.1,,,,,C13,1,,0.13
Capacitor,C,0.1 uF,,,,,C11,1,,0.11
Capacitor,C,1 uF,,,,,C15,1,,0.12
Capacitor,C,4.7 uF,,,,,C14,1,,0.11
Ceramic,C,,,,,,C3 C4 C5 C6 C7 C8 C9,7,,0.09
Header2,SIP,,,,,,J2,1,,0.95
JTAG,USER,,AllElectronics,DHS-40,,,J1,1,,
LEDT1.75,SIP,,,,,,D1,1,,
LM3S811,QFP,,,,,,U1,1,,3.29
LM2937ET-3.3,TO220,,,,,,U2,1,,1.63
LM4041,MISC,,,,,,U4,1,,0.23
LogicAnalyzer,DIP,,,,,,J6,1,,
Mammond1593Y,MISC,,,,,,Box1,1,,4.82
MC34119,DIP,,,,,,U5,1,,
Speaker,DIP,,,,,,J3,1,,
tantalum,C,,,,,,C2 C10 C12,3,,
testpoint,SIP,,,,,,GND,1,,
,SIP,,+3.3V,,,,TP2,1,,
,SIP,,+7.4v,,,,TP1,1,,
TLV5618,DIP,,,,,,U6,1,,
XTAL,DSC,,,,,,Y1,1,,
,,,,,,,,37,,
