"Component","Package","Value","Manuf","Manuf Part No","Distrib","Distrib Part No","Ref Name","Qty"
"0.25Wresistor","DIP","","","","","","R13 R14 R15 R16 R17","5"
"Audio_Jack 3.5mm","CONN","","","","","","CONN1","1"
"Capacitor","C","0.1","","","","","C3","1"
"Capacitor","C","0.1 uF","","","","","C2","1"
"Capacitor","C","1 uF","","","","","C5","1"
"Capacitor","C","4.7 uF","","","","","C4","1"
"LM3S1968","QFP","","","","","","U2 U7","2"
"LM4041","MISC","","","","","","U3","1"
"MC34119","DIP","","","","","","U4","1"
"S1D13700F01","USER","","","","","","V1","1"
"TLV5618","DIP","","","","","","U1","1"
"XBee","DIP","","","","","","U5","1"
"","","","","","","","","17"
PCB Artist Bill of Materials is provided for reference only and must be verified by the user.
